account_rewards,date
-1365.6902851810446,2024-07-05
-671.6015138395596,2024-07-08
11181.536466613761,2024-07-09
-3237.921751647955,2024-07-10
4593.452590942383,2024-07-11
8721.659278869629,2024-07-12
15836.827934265137,2024-07-15
8786.445709228516,2024-07-16
-12288.920501708984,2024-07-17
-13028.4331741333,2024-07-18
3128.755615234375,2024-07-19
-373.3627014160156,2024-07-22
-13853.487670898438,2024-07-23
-2904.7522354125977,2024-07-24
25240.561347961426,2024-07-25
-1034.2804592895554,2024-07-26
1377.0779281617142,2024-07-29
-951.1120510101318,2024-07-30
-8110.30022354133,2024-07-31
-9612.298693996388,2024-08-01
-1015.9111587981461,2024-08-02
1800.5595794677502,2024-08-05
-1717.5174415588845,2024-08-06
9919.187035369803,2024-08-07
1385.1380311584799,2024-08-08
-2254.8409118652344,2024-08-09
10519.385955810547,2024-08-12
9496.028930664062,2024-08-13
9360.486221313477,2024-08-14
1456.4160461425781,2024-08-15
4590.388565063477,2024-08-16
-151.9623565673828,2024-08-19
-2511.526092529297,2024-08-20
-2237.4955444335938,2024-08-21
9992.872085571289,2024-08-22
2580.9215545654297,2024-08-23
543.8671569824219,2024-08-26
-2135.666213989258,2024-08-27
9454.8564453125,2024-08-28
5075.366836547852,2024-08-29
-9672.709350585938,2024-08-30
4045.1198120117188,2024-09-03
-4980.339492797852,2024-09-04
-8346.749374389648,2024-09-05
10487.055114746094,2024-09-06
-2779.3590240478516,2024-09-09
-1049.1415100097656,2024-09-10
5445.666854858398,2024-09-11
10486.091293334961,2024-09-12
8655.688674926758,2024-09-13
-1364.921142578125,2024-09-16
-4315.3326416015625,2024-09-17
6767.603454589844,2024-09-18
-1653.7196807861328,2024-09-19
-419.14117431640625,2024-09-20
-7614.757141113281,2024-09-23
-3917.4999084472656,2024-09-24
2921.1600494384766,2024-09-25
5132.312789916992,2024-09-26
387.9407958984375,2024-09-27
-4812.6939697265625,2024-09-30
1557.7085266113281,2024-10-01
